,index,Unnamed: 0,country,currency,exchange,finnhubIndustry,ipo,logo,marketCapitalization,name,phone,shareOutstanding,ticker,weburl
0,9,9,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1980-12-12,https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png,1979619.0,Apple Inc,14089961010.0,17102.536,AAPL,https://www.apple.com/
1,40,40,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1993-11-02,https://static.finnhub.io/logo/875c5a76-80df-11ea-ab99-00000000092a.png,3740.741,ACI Worldwide Inc,12394034600.0,116.388958,ACIW,http://www.aciworldwide.com
2,55,55,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1986-01-08,https://static.finnhub.io/logo/9b4b19c2-80df-11ea-becf-00000000092a.png,234342.7,Adobe Inc,14085366000.0,479.718983,ADBE,https://www.adobe.com/
3,64,64,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1961-09-01,https://static.finnhub.io/logo/987cc1f6-80df-11ea-96e8-00000000092a.png,64133.04,Automatic Data Processing Inc,19739745000.0,429.846075,ADP,https://www.adp.com/
4,67,67,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1985-05-01,https://static.finnhub.io/logo/99d251e4-80df-11ea-ad7f-00000000092a.png,55789.01,Autodesk Inc,14155075000.0,219.27918300000002,ADSK,https://www.autodesk.com/
5,87,87,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2013-04-15,https://static.finnhub.io/logo/d47b30ac-80da-11ea-acae-00000000092a.png,161.4151,AudioEye Inc,18663315324.0,9.7121,AEYE,https://www.audioeye.com/
6,113,113,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1971-01-08,https://static.finnhub.io/logo/9f139b98-80df-11ea-bde1-00000000092a.png,630.3119,Agilysys Inc,17708107800.0,23.589517999999998,AGYS,https://www.agilysys.com/
7,132,132,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1999-10-29,,17368.74,Akamai Technologies Inc,16174443000.0,162.70486100000002,AKAM,https://www.akamai.com/
8,153,153,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1996-04-03,,45.12489,ALJ Regional Holdings Inc,12128830083.0,42.172791,ALJJ,http://www.aljregionalholdings.com/
9,157,157,IL,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2006-11-16,https://static.finnhub.io/logo/9564945e-80df-11ea-9144-00000000092a.png,0.0,Allot Ltd,97297619200.0,0.0,ALLT,https://www.allot.com
10,160,160,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1983-05-26,https://static.finnhub.io/logo/95ff91b4-80df-11ea-a942-00000000092a.png,59.59541,AstroNova Inc,14018284000.0,7.168424000000001,ALOT,https://astronovainc.com/
11,162,162,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2015-06-26,,2952.635,Alarm.com Holdings Inc,18773894033.0,48.965761,ALRM,
12,169,169,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2017-11-01,,3464.888,Altair Engineering Inc,12486142400.0,73.11432099999999,ALTR,https://www.altair.com/
13,174,174,CA,CAD,TORONTO STOCK EXCHANGE,Technology,2018-11-01,https://static.finnhub.io/logo/af289222-80da-11ea-a616-00000000092a.png,170.55599999999998,Alithya Group Inc,15142855552.0,58.081235,ALYA.TO,http://alithya.com
14,195,195,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2009-07-21,https://static.finnhub.io/logo/51d78122-80db-11ea-bfdf-00000000092a.png,8.08917,Ameri Holdings Inc,17709354152.0,5.737001,AMRH,http://www.ameri100.com/
15,203,203,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1983-02-25,https://static.finnhub.io/logo/96ee971a-80df-11ea-acfa-00000000092a.png,507.9927,American Software Inc,14042614381.0,32.480351,AMSWA,http://www.amsoftware.com/
16,227,227,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1996-06-20,https://static.finnhub.io/logo/6edb83c2-826a-11ea-9332-00000000092a.png,28329.32,ANSYS Inc,18444626797.0,85.789237,ANSS,https://www.ansys.com/
17,229,229,CA,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2014-07-07,https://static.finnhub.io/logo/2daae168-80d0-11ea-843f-00000000092a.png,11.55082,Sphere 3D Corp,14167495999.0,6.958325,ANY,http://sphere3d.com
18,237,237,CN,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2020-06-25,,4084.08,Agora Inc,,396.897929,API,
19,244,244,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2015-06-26,https://static.finnhub.io/logo/ff290e30-80d1-11ea-b270-00000000092a.png,5247.375,AppFolio Inc,18053646093.0,34.296564000000004,APPF,https://www.appfolio.com/
20,245,245,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2017-05-25,https://static.finnhub.io/logo/af1648b6-80db-11ea-aaa4-00000000092a.png,5467.924,Appian Corp,17034428844.0,69.85085,APPN,https://www.appian.com/
21,246,246,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2006-06-30,https://static.finnhub.io/logo/2f523190-80ce-11ea-abb7-00000000092a.png,2964.708,Digital Turbine Inc,15123877717.0,87.583694,APPS,http://www.digitalturbine.com/
22,297,297,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1992-04-07,https://static.finnhub.io/logo/a393333e-80df-11ea-819f-00000000092a.png,136.7907,Asure Software Inc,15124372700.0,15.850601000000001,ASUR,http://www.asuresoftware.com/
23,333,333,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2017-07-27,,85.80858,American Virtual Cloud Technologies Inc,14042343098.0,19.63583,AVCT,http://www.pensaregrp.com/
24,340,340,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1993-03-12,https://static.finnhub.io/logo/15688ffe-80d1-11ea-895e-00000000092a.png,410.9619,Avid Technology Inc,19786403121.0,43.953142,AVID,https://www.avid.com/
25,348,348,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1996-08-09,https://static.finnhub.io/logo/7b38fabe-80e0-11ea-8fd4-00000000092a.png,56.11561999999999,Aware Inc,16172764000.0,21.500239,AWRE,https://www.aware.com/
26,361,361,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1994-10-27,https://static.finnhub.io/logo/7c15b8ba-80e1-11ea-9740-00000000092a.png,8768.894,Aspen Technology Inc,17812214302.0,67.718692,AZPN,http://www.aspentech.com
27,388,388,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2012-02-17,https://static.finnhub.io/logo/99b480d8-80cb-11ea-8897-00000000092a.png,547.8603,Brightcove Inc,18888821880.0,39.414408,BCOV,https://www.brightcove.com/
28,425,425,US,,NASDAQ NMS - GLOBAL MARKET,Technology,2020-08-05,,0.0,"Bigcommerce Holdings, Inc.",18886998911.0,0.0,BIGC,https://www.bigcommerce.com/
29,440,440,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1997-04-17,,28.256529999999998,BIO-Key International Inc,18668462594.0,62.376443,BKYI,http://www.bio-key.com/
30,441,441,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2016-10-28,https://static.finnhub.io/logo/f033b8a2-80db-11ea-a1ad-00000000092a.png,5634.694,Blackline Inc,18182239008.0,56.89885699999999,BL,https://www.blackline.com/
31,450,450,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2007-06-29,https://static.finnhub.io/logo/b6f9d6fe-80df-11ea-8968-00000000092a.png,10.16639,Bridgeline Digital Inc,17813765555.0,4.42017,BLIN,http://www.bridgelinedigital.com/
32,451,451,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2004-07-19,https://static.finnhub.io/logo/24597550-80e0-11ea-93bc-00000000092a.png,2843.63,Blackbaud Inc,18432166200.0,49.575132,BLKB,https://www.blackbaud.com
33,469,469,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2013-09-18,https://static.finnhub.io/logo/8e90f830-80ce-11ea-9261-00000000092a.png,360.0288,Benefitfocus Inc,18438497476.0,32.26065,BNFT,https://www.benefitfocus.com/
34,487,487,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2017-11-30,https://static.finnhub.io/logo/4a68c2c6-80db-11ea-b14c-00000000092a.png,77.28748,Boxlight Corp,14048911122.0,50.514691,BOXL,http://investors.boxlight.com/
35,517,517,CN,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2015-10-15,https://static.finnhub.io/logo/0c380ee8-80d3-11ea-a888-00000000092a.png,51.20606,Borqs Technologies Inc,861059756336.0,83.02445300000001,BRQS,http://www.borqs.com/
36,556,556,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1999-10-20,https://static.finnhub.io/logo/b9784a8c-80df-11ea-9db3-00000000092a.png,16.70703,Bsquare Corp,14255195900.0,13.155139000000002,BSQR,https://www.bsquare.com/
37,559,559,US,,NASDAQ NMS - GLOBAL MARKET,Technology,2020-09-23,,0.0,Bentley Systems Inc,18002368539.0,0.0,BSY,https://www.bentley.com/
38,593,593,CN,CNY,NASDAQ NMS - GLOBAL MARKET,Technology,2019-11-21,https://static.finnhub.io/logo/243b01d0-81d2-11ea-adb0-00000000092a.png,318.05,Canaan Inc,8689995063.0,2372.222222,CAN,https://canaan-creative.com/
39,607,607,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1996-07-01,,623.8559,Cass Information Systems Inc,13145065500.0,14.421079,CASS,https://www.cassinfo.com/
40,612,612,GB,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2007-12-11,https://static.finnhub.io/logo/de6d7086-80df-11ea-9672-00000000092a.png,909.5527,Cardtronics PLC,4401707248781.0,44.476906,CATM,http://www.cardtronics.com/
41,641,641,CN,,NASDAQ NMS - GLOBAL MARKET,Technology,2020-09-30,,0.0,Chindata Group Holdings Ltd,864008797679.0,0.0,CD,https://www.chindatagroup.com/
42,645,645,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2014-06-05,https://static.finnhub.io/logo/835d3d12-80d0-11ea-8dc7-00000000092a.png,5647.889,CDK Global Inc,18473971700.0,121.69551299999999,CDK,http://www.cdkglobal.com
43,651,651,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1988-06-01,https://static.finnhub.io/logo/bbbf4280-80df-11ea-834e-00000000092a.png,31254.22,Cadence Design Systems Inc,14089431234.0,278.931,CDNS,https://www.cadence.com/
44,708,708,IL,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1996-06-28,https://static.finnhub.io/logo/b9d95af6-826a-11ea-93e3-00000000092a.png,16964.21,Check Point Software Technologies Ltd,97237534555.0,140.20009199999998,CHKP,https://www.checkpoint.com
45,758,758,HK,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2018-05-24,https://static.finnhub.io/logo/0d6e3c4a-80db-11ea-acc8-00000000092a.png,69.68375999999999,CLPS Inc,85237073600.0,14.82063,CLPS,http://www.clpsglobal.com
46,765,765,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2011-04-09,https://static.finnhub.io/logo/e76a9728-80d9-11ea-9ab3-00000000092a.png,192.1517,CleanSpark Inc,17029418047.0,17.390979,CLSK,https://cleanspark.com/
47,789,789,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2016-12-13,https://static.finnhub.io/logo/e569f9e6-80db-11ea-9fe3-00000000092a.png,782.5139,Conduent Inc,12038492339.0,209.228322,CNDT,https://www.conduent.com
48,822,822,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2016-10-06,https://static.finnhub.io/logo/bbbad626-80d4-11ea-a7d3-00000000092a.png,20792.15,Coupa Software Inc,16509313200.0,68.848178,COUP,https://www.coupa.com/
49,826,826,CA,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2008-08-25,https://static.finnhub.io/logo/ee4f7d8a-80cc-11ea-a29d-00000000092a.png,19.556079999999998,CounterPath Corp,16043203344.0,6.411828,CPAH,http://www.counterpath.com/
50,850,850,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2019-09-16,https://static.finnhub.io/logo/25975618-80da-11ea-8a47-00000000092a.png,2394.313,Cerence Inc,16175800843.0,36.722584999999995,CRNC,http://www.cerence.com/
51,859,859,US,,NASDAQ NMS - GLOBAL MARKET,Technology,2020-09-23,,0.0,Corsair Gaming Inc,15106578747.0,0.0,CRSR,
52,867,867,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2019-06-12,https://static.finnhub.io/logo/5f63e87e-80da-11ea-b6aa-00000000092a.png,29717.75,Crowdstrike Holdings Inc,18885128906.0,219.19400000000002,CRWD,https://ir.crowdstrike.com/
53,873,873,CN,,NASDAQ NMS - GLOBAL MARKET,Technology,2009-11-02,,0.0,Color Star Technology Co Ltd,861082525361.0,0.0,CSCW,http://www.china-acm.com/
54,876,876,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1996-02-28,,1330.9660000000001,CSG Systems International Inc,13037962850.0,33.083921000000004,CSGS,https://www.csgi.com/
55,880,880,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2011-03-17,https://static.finnhub.io/logo/fd5308d8-80c9-11ea-932e-00000000092a.png,2531.824,Cornerstone OnDemand Inc,13107520200.0,64.537966,CSOD,https://www.cornerstoneondemand.com/
56,881,881,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1982-02-01,https://static.finnhub.io/logo/1f00df48-80e0-11ea-a394-00000000092a.png,33.03839,CSP Inc,19789545038.0,4.276814,CSPI,https://www.cspi.com/
57,896,896,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1980-03-25,https://static.finnhub.io/logo/10fa1046-80e0-11ea-836b-00000000092a.png,86.03232,Computer Task Group Inc,17168828000.0,15.173248999999998,CTG,https://www.ctg.com/
58,904,904,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1998-06-24,https://static.finnhub.io/logo/cad080be-80df-11ea-8b33-00000000092a.png,40190.88,Cognizant Technology Solutions Corp,12018010233.0,542.240742,CTSH,https://www.cognizant.com/
59,908,908,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1995-12-01,https://static.finnhub.io/logo/ceb2199a-80df-11ea-af9f-00000000092a.png,15645.33,Citrix Systems Inc,19542673000.0,123.53198799999998,CTXS,https://www.citrix.com/
60,922,922,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2006-09-22,https://static.finnhub.io/logo/cefdbe10-80df-11ea-b4b9-00000000092a.png,1963.3039999999999,Commvault Systems Inc,17328704000.0,46.391881,CVLT,https://www.commvault.com/
61,930,930,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2004-08-16,,118.9542,Crexendo Inc,18012270004.0,17.340264,CXDO,
62,935,935,IL,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2014-09-24,https://static.finnhub.io/logo/27bbcec2-80d0-11ea-aa2d-00000000092a.png,4200.029,Cyberark Software Ltd,97239180000.0,38.043516,CYBR,http://www.cyberark.com
63,939,939,IL,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1999-07-15,,56.18461,Cyren Ltd,7037603320.0,60.413557,CYRN,https://www.cyren.com
64,955,955,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2018-03-23,https://static.finnhub.io/logo/2739c27e-80db-11ea-8235-00000000092a.png,8151.486999999999,Dropbox Inc,14159867057.0,413.361408,DBX,https://www.dropbox.com/
65,961,961,US,,NASDAQ NMS - GLOBAL MARKET,Technology,2020-08-14,,0.0,Duck Creek Technologies Inc,18887243509.0,0.0,DCT,https://www.duckcreek.com
66,964,964,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2019-09-19,https://static.finnhub.io/logo/2308e3fe-80da-11ea-b369-00000000092a.png,30964.48,Datadog Inc,18663294466.0,303.33545699999996,DDOG,http://www.datadoghq.com/
67,1002,1002,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1999-12-02,https://static.finnhub.io/logo/d2c1dd54-80df-11ea-b303-00000000092a.png,419.6347,Digimarc Corp,15034694618.0,12.774269,DMRC,https://www.digimarc.com/
68,1007,1007,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2018-04-27,https://static.finnhub.io/logo/1a0ef2ac-80db-11ea-afff-00000000092a.png,40702.95,DocuSign Inc,14154894940.0,185.164889,DOCU,https://www.docusign.com
69,1009,1009,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2018-06-29,https://static.finnhub.io/logo/f05d2b50-80da-11ea-bc74-00000000092a.png,1055.515,Domo Inc,18008991000.0,29.271064000000003,DOMO,https://www.domo.com/
70,1012,1012,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1998-06-19,https://static.finnhub.io/logo/c2237c1e-80eb-11ea-9b88-00000000092a.png,7623.319,Amdocs Ltd,13142127000.0,133.019,DOX,https://www.amdocs.com/
71,1025,1025,CA,USD,TORONTO STOCK EXCHANGE,Technology,1998-01-21,,6152.525,Descartes Systems Group Inc,15197468110.0,84.473968,DSG.TO,https://www.descartes.com/home
72,1032,1032,CN,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2015-10-22,,74.56009,Datasea Inc,861058401996.0,20.943846,DTSS,http://www.datasea.com/
73,1034,1034,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2008-08-13,https://static.finnhub.io/logo/71a038d8-80fc-11ea-82c5-00000000092a.png,12.71842,Duos Technologies Group Inc,19042962807.0,3.532895,DUOT,https://ir.duostechnologies.com/
74,1069,1069,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1987-07-01,,618.8694,Ebix Inc,16782812020.0,30.912559,EBIX,https://www.ebix.com/
75,1072,1072,CN,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2020-06-26,,1280.215,Ebang International Holdings Inc,8657188176197.0,131.035337,EBON,http://www.ebang.com.cn/
76,1089,1089,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1997-03-07,https://static.finnhub.io/logo/2d22afca-80e0-11ea-b0c4-00000000092a.png,4957.522,Euronet Worldwide Inc,19133274200.0,52.289019,EEFT,http://www.euronetworldwide.com
77,1094,1094,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1999-09-23,https://static.finnhub.io/logo/cc2e9b0a-80cb-11ea-8fbc-00000000092a.png,572.4381,eGain Corp,16502307500.0,30.909187,EGAN,http://www.egain.com/
